iter	Logloss
0	0.6713620611
1	0.6500730505
2	0.6301169313
3	0.611786541
4	0.5950159052
5	0.5791867535
6	0.5638001436
7	0.5483222749
8	0.5346817232
9	0.5237364165
10	0.512501014
11	0.5012475077
12	0.4892024829
13	0.4803606101
14	0.4706380054
15	0.4617700213
16	0.4532975354
17	0.4441121693
18	0.4365826471
19	0.4304125627
20	0.4236307356
21	0.4170384326
22	0.4111117919
23	0.4045805892
24	0.3977248238
25	0.3921439829
26	0.3866437387
27	0.3819855382
28	0.3768891912
29	0.3719210069
30	0.3675169558
31	0.3630174245
32	0.3584599264
33	0.3540479984
34	0.3509238981
35	0.3473283595
36	0.3441876351
37	0.3405462714
38	0.3376598704
39	0.3345461058
40	0.3320130551
41	0.3292806451
42	0.326053362
43	0.3236653156
